timestamp,concurrency,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_1440
2025-01-02 00:00:00,88,16.0,12.0,13.0,15.0,31.0,13.0,12.0,18.0,19.0,9.0,122.0
2025-01-02 00:01:00,20,88.0,16.0,12.0,13.0,15.0,31.0,13.0,12.0,18.0,19.0,24.0
2025-01-02 00:02:00,19,20.0,88.0,16.0,12.0,13.0,15.0,31.0,13.0,12.0,18.0,23.0
2025-01-02 00:03:00,29,19.0,20.0,88.0,16.0,12.0,13.0,15.0,31.0,13.0,12.0,33.0
2025-01-02 00:04:00,17,29.0,19.0,20.0,88.0,16.0,12.0,13.0,15.0,31.0,13.0,30.0
2025-01-02 00:05:00,27,17.0,29.0,19.0,20.0,88.0,16.0,12.0,13.0,15.0,31.0,47.0
2025-01-02 00:06:00,26,27.0,17.0,29.0,19.0,20.0,88.0,16.0,12.0,13.0,15.0,21.0
2025-01-02 00:07:00,34,26.0,27.0,17.0,29.0,19.0,20.0,88.0,16.0,12.0,13.0,27.0
2025-01-02 00:08:00,17,34.0,26.0,27.0,17.0,29.0,19.0,20.0,88.0,16.0,12.0,9.0
2025-01-02 00:09:00,16,17.0,34.0,26.0,27.0,17.0,29.0,19.0,20.0,88.0,16.0,16.0
2025-01-02 00:10:00,28,16.0,17.0,34.0,26.0,27.0,17.0,29.0,19.0,20.0,88.0,30.0
2025-01-02 00:11:00,20,28.0,16.0,17.0,34.0,26.0,27.0,17.0,29.0,19.0,20.0,15.0
2025-01-02 00:12:00,18,20.0,28.0,16.0,17.0,34.0,26.0,27.0,17.0,29.0,19.0,21.0
2025-01-02 00:13:00,17,18.0,20.0,28.0,16.0,17.0,34.0,26.0,27.0,17.0,29.0,13.0
2025-01-02 00:14:00,14,17.0,18.0,20.0,28.0,16.0,17.0,34.0,26.0,27.0,17.0,12.0
2025-01-02 00:15:00,90,14.0,17.0,18.0,20.0,28.0,16.0,17.0,34.0,26.0,27.0,121.0
