timestamp,actual_demand,predicted,provisioned,cold_starts,idle_capacity,cost,is_extreme,base_prediction,sigma_t,buffer_t,cvar_col
2019-01-13 20:06:00,670615.0,750751.7754008876,750752.0,0.0,80137.0,80137.0,False,668320.0,30928.761662614957,82431.77540088758,2.665214220345806
2019-01-13 20:07:00,686541.0,753049.7765359711,753050.0,0.0,66509.0,66509.0,False,670615.0,30929.88770158794,82434.77653597103,2.665214220345806
2019-01-13 20:08:00,661189.0,769281.9401629204,769282.0,0.0,108093.0,108093.0,False,686541.0,31044.76162977435,82740.94016292044,2.665214220345806
2019-01-13 20:09:00,676073.0,743573.5058633811,743574.0,0.0,67501.0,67501.0,False,661189.0,30911.02592597298,82384.50586338107,2.665214220345806
2019-01-13 20:10:00,769906.0,757193.413932939,757194.0,12712.0,0.0,127120.0,False,676073.0,30436.733120241915,81120.41393293891,2.665214220345806
2019-01-13 20:11:00,689199.0,855294.6192329474,855295.0,0.0,166096.0,166096.0,False,769906.0,32038.18236489387,85388.61923294736,2.665214220345806
2019-01-13 20:12:00,620724.0,781814.6689419207,781815.0,0.0,161091.0,161091.0,False,689199.0,34749.802937005195,92615.6689419207,2.665214220345806
2019-01-13 20:13:00,603863.0,719210.9832108598,719211.0,0.0,115348.0,115348.0,False,620724.0,36952.74565887666,98486.9832108598,2.665214220345806
2019-01-13 20:14:00,613797.0,702518.483544261,702519.0,0.0,88722.0,88722.0,False,603863.0,37015.967718895256,98655.48354426093,2.665214220345806
2019-01-13 20:15:00,608362.0,712549.3622986339,712550.0,0.0,104188.0,104188.0,False,613797.0,37052.317050079735,98752.36229863387,2.665214220345806
2019-01-13 20:16:00,630135.0,706385.66097267,706386.0,0.0,76251.0,76251.0,False,608362.0,36778.90513429406,98023.6609726699,2.665214220345806
2019-01-13 20:17:00,614967.0,728792.8312416627,728793.0,0.0,113826.0,113826.0,False,630135.0,37016.848585200074,98657.83124166276,2.665214220345806
2019-01-13 20:18:00,620477.0,713701.4796147794,713702.0,0.0,93225.0,93225.0,False,614967.0,37045.6073891009,98734.47961477938,2.665214220345806
2019-01-13 20:19:00,621247.0,719007.0987263276,719008.0,0.0,97761.0,97761.0,False,620477.0,36968.92278833166,98530.09872632766,2.665214220345806
2019-01-13 20:20:00,625652.0,719603.642861714,719604.0,0.0,93952.0,93952.0,False,621247.0,36903.84139138821,98356.642861714,2.665214220345806
2019-01-13 20:21:00,601415.0,723442.5168130154,723443.0,0.0,122028.0,122028.0,False,625652.0,36691.42842871646,97790.51681301548,2.665214220345806
2019-01-13 20:22:00,580410.0,698867.9049034351,698868.0,0.0,118458.0,118458.0,False,601415.0,36564.75496772295,97452.90490343515,2.665214220345806
2019-01-13 20:23:00,612614.0,678317.5323345524,678318.0,0.0,65704.0,65704.0,False,580410.0,36735.33316276883,97907.53233455235,2.665214220345806
2019-01-13 20:24:00,602401.0,711506.1280314703,711507.0,0.0,109106.0,109106.0,False,612614.0,37104.757762638415,98892.12803147033,2.665214220345806
2019-01-13 20:25:00,627879.0,701354.6021711905,701355.0,0.0,73476.0,73476.0,False,602401.0,37127.823127985364,98953.60217119049,2.665214220345806
2019-01-13 20:26:00,611009.0,727629.8725775137,727630.0,0.0,116621.0,116621.0,False,627879.0,37426.962461790885,99750.87257751373,2.665214220345806
2019-01-13 20:27:00,603485.0,711054.0753015558,711055.0,0.0,107570.0,107570.0,False,611009.0,37537.34860703811,100045.0753015558,2.665214220345806
2019-01-13 20:28:00,609089.0,703462.8752725458,703463.0,0.0,94374.0,94374.0,False,603485.0,37512.13486305576,99977.87527254589,2.665214220345806
2019-01-13 20:29:00,620591.0,709095.377520078,709096.0,0.0,88505.0,88505.0,False,609089.0,37522.82903064443,100006.37752007796,2.665214220345806
2019-01-13 20:30:00,692500.0,720694.9703145123,720695.0,0.0,28195.0,28195.0,False,620591.0,37559.44627277428,100103.97031451228,2.665214220345806
