timestamp,actual_demand,predicted,provisioned,cold_starts,idle_capacity,cost,is_extreme,base_prediction,sigma_t,buffer_t,cvar_col
2019-01-13 13:21:00,660120.0,739704.2544160348,739705.0,0.0,79585.0,79585.0,False,673663.125,24778.9198001,66041.12941603478,2.665214220345806
2019-01-13 13:22:00,657867.0,721475.6704443857,721476.0,0.0,63609.0,63609.0,False,655155.25,24883.71101208549,66320.42044438577,2.665214220345806
2019-01-13 13:23:00,658700.0,726519.661434093,726520.0,0.0,67820.0,67820.0,False,660255.1875,24862.719637408867,66264.47393409302,2.665214220345806
2019-01-13 13:24:00,645084.0,719930.7158527717,719931.0,0.0,74847.0,74847.0,False,653899.875,24775.059486289356,66030.84085277164,2.665214220345806
2019-01-13 13:25:00,672601.0,724752.2466561814,724753.0,0.0,52152.0,52152.0,False,658670.75,24794.06576466768,66081.4966561814,2.665214220345806
2019-01-13 13:26:00,650250.0,723681.2093126704,723682.0,0.0,73432.0,73432.0,False,657323.1875,24897.819209466987,66358.02181267038,2.665214220345806
2019-01-13 13:27:00,652579.0,716786.7894411107,716787.0,0.0,64208.0,64208.0,False,650599.875,24833.618977360486,66186.91444111064,2.665214220345806
2019-01-13 13:28:00,650122.0,723758.9528815476,723759.0,0.0,73637.0,73637.0,False,658094.875,24637.44841982263,65664.07788154758,2.665214220345806
2019-01-13 13:29:00,652723.0,715902.1770185584,715903.0,0.0,63180.0,63180.0,False,650122.25,24680.915521313545,65779.92701855837,2.665214220345806
2019-01-13 13:30:00,705334.0,752101.3648803266,752102.0,0.0,46768.0,46768.0,False,686668.5,24550.696293312136,65432.86488032657,2.665214220345806
2019-01-13 13:31:00,675274.0,721778.205907978,721779.0,0.0,46505.0,46505.0,False,671134.375,19001.78624343638,50643.83090797795,2.665214220345806
2019-01-13 13:32:00,657533.0,715335.4654030662,715336.0,0.0,57803.0,57803.0,False,664870.0625,18934.839277766736,50465.40290306621,2.665214220345806
2019-01-13 13:33:00,666870.0,709781.9509897404,709782.0,0.0,42912.0,42912.0,False,659393.875,18905.825882619924,50388.07598974041,2.665214220345806
2019-01-13 13:34:00,655518.0,712558.1192398525,712559.0,0.0,57041.0,57041.0,False,662108.0,18929.104780668156,50450.119239852545,2.665214220345806
2019-01-13 13:35:00,672598.0,727463.8953543276,727464.0,0.0,54866.0,54866.0,False,677108.75,18893.470164583672,50355.145354327615,2.665214220345806
