timestamp,actual_demand,predicted,provisioned,cold_starts,idle_capacity,cost,is_extreme,base_prediction,sigma_t,buffer_t,cvar_col
2019-01-12 09:36:00,553495.0,684381.6315483133,684382.0,0.0,130887.0,130887.0,False,558389.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:37:00,559100.0,679487.6315483133,679488.0,0.0,120388.0,120388.0,False,553495.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:38:00,555599.0,685092.6315483133,685093.0,0.0,129494.0,129494.0,False,559100.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:39:00,570612.0,681591.6315483133,681592.0,0.0,110980.0,110980.0,False,555599.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:40:00,584966.0,696604.6315483133,696605.0,0.0,111639.0,111639.0,False,570612.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:41:00,571705.0,710958.6315483133,710959.0,0.0,139254.0,139254.0,False,584966.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:42:00,575588.0,697697.6315483133,697698.0,0.0,122110.0,122110.0,False,571705.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:43:00,565964.0,701580.6315483133,701581.0,0.0,135617.0,135617.0,False,575588.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:44:00,572865.0,691956.6315483133,691957.0,0.0,119092.0,119092.0,False,565964.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:45:00,617089.0,698857.6315483133,698858.0,0.0,81769.0,81769.0,False,572865.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:46:00,615697.0,743081.6315483133,743082.0,0.0,127385.0,127385.0,False,617089.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:47:00,621582.0,741689.6315483133,741690.0,0.0,120108.0,120108.0,False,615697.0,30283.054231543145,125992.63154831334,4.160499485454083
2019-01-12 09:48:00,602921.0,747574.6315483133,747575.0,0.0,144654.0,144654.0,False,621582.0,30283.054231543145,125992.63154831334,4.160499485454083
