model,total_cost,cold_cost,idle_cost,total_cold_starts,total_idle_capacity,total_demand,request_sla,extreme_sla,cold_start_rate,avg_cold_per_step,n_extreme_timesteps,fit_time_seconds
RiskAware(Reactive),477260856.0,10223700.0,467037156.0,1022370,467037156,2600464804,0.9996068510527705,0.9975395027458381,0.012158808933002481,253.68982630272953,34,0.014120340347290039
RiskAware(Forecast_Only),479391629.0,18286890.0,461104739.0,1828689,461104739,2600464804,0.9992967837914256,0.9902867132375841,0.01761786600496278,453.76898263027294,34,0.018825292587280273
RiskAware(TCN),448385105.0,20871700.0,427513405.0,2087170,427513405,2600464804,0.9991973857916517,0.9874573970342425,0.018114143920595533,517.908188585608,34,126.90532779693604
