Dataset,Reactive_xi,TCN_xi,Reactive_ratio,TCN_ratio
Azure,-0.09282723843882515,0.02217298197406918,1.5610375532643928,1.611473820451014
Huawei Combined,-0.07230001426229865,0.27797895635231057,1.4271664493904757,2.0487691677527264
Huawei R1,0.002561137741960676,0.35795798783332944,1.293524809572817,2.296870169556549
Huawei R2,0.41074883316151634,0.5013470812556198,1.9847632050380828,2.4740506708187215
Huawei R3,-0.20950438313405603,0.1538247469831582,1.1582864560108304,1.6290440813648606
Huawei R4,-0.17359248424649013,0.5446133439958563,1.733253452752126,2.954282893566829
Huawei R5,-0.22881539597854098,0.01479447325437806,1.0708893888746849,1.3454965779879084
