timestamp,concurrency
2019-01-01 00:00:00,662592
2019-01-01 00:01:00,601633
2019-01-01 00:02:00,575989
2019-01-01 00:03:00,591299
2019-01-01 00:04:00,563383
2019-01-01 00:05:00,591526
2019-01-01 00:06:00,621484
2019-01-01 00:07:00,666850
2019-01-01 00:08:00,669972
2019-01-01 00:09:00,643466
2019-01-01 00:10:00,592937
2019-01-01 00:11:00,530127
2019-01-01 00:12:00,546177
2019-01-01 00:13:00,543847
2019-01-01 00:14:00,546886
2019-01-01 00:15:00,582076
2019-01-01 00:16:00,558868
2019-01-01 00:17:00,532122
2019-01-01 00:18:00,532648
2019-01-01 00:19:00,530449
2019-01-01 00:20:00,560429
2019-01-01 00:21:00,532550
2019-01-01 00:22:00,525631
2019-01-01 00:23:00,541309
2019-01-01 00:24:00,522009
2019-01-01 00:25:00,537649
2019-01-01 00:26:00,551936
2019-01-01 00:27:00,537939
2019-01-01 00:28:00,517599
2019-01-01 00:29:00,515467
2019-01-01 00:30:00,598136
2019-01-01 00:31:00,559899
2019-01-01 00:32:00,554857
2019-01-01 00:33:00,568284
2019-01-01 00:34:00,518459
2019-01-01 00:35:00,522390
2019-01-01 00:36:00,524003
2019-01-01 00:37:00,514908
2019-01-01 00:38:00,504014
2019-01-01 00:39:00,501568
2019-01-01 00:40:00,535010
2019-01-01 00:41:00,514160
2019-01-01 00:42:00,518389
2019-01-01 00:43:00,524449
2019-01-01 00:44:00,525188
2019-01-01 00:45:00,525021
2019-01-01 00:46:00,548982
2019-01-01 00:47:00,520088
2019-01-01 00:48:00,514965
2019-01-01 00:49:00,520666
2019-01-01 00:50:00,539829
2019-01-01 00:51:00,537700
2019-01-01 00:52:00,517759
2019-01-01 00:53:00,513981
2019-01-01 00:54:00,535483
2019-01-01 00:55:00,510033
2019-01-01 00:56:00,508321
2019-01-01 00:57:00,528181
2019-01-01 00:58:00,505419
2019-01-01 00:59:00,525039
2019-01-01 01:00:00,611835
2019-01-01 01:01:00,545082
2019-01-01 01:02:00,543929
2019-01-01 01:03:00,521023
2019-01-01 01:04:00,508355
2019-01-01 01:05:00,610602
2019-01-01 01:06:00,633589
2019-01-01 01:07:00,653561
2019-01-01 01:08:00,637714
2019-01-01 01:09:00,583315
2019-01-01 01:10:00,570769
2019-01-01 01:11:00,528069
2019-01-01 01:12:00,526627
2019-01-01 01:13:00,535380
2019-01-01 01:14:00,535063
2019-01-01 01:15:00,525102
2019-01-01 01:16:00,531371
2019-01-01 01:17:00,539011
2019-01-01 01:18:00,521337
2019-01-01 01:19:00,510884
2019-01-01 01:20:00,566011
2019-01-01 01:21:00,532154
2019-01-01 01:22:00,532407
2019-01-01 01:23:00,521487
2019-01-01 01:24:00,515624
2019-01-01 01:25:00,531530
2019-01-01 01:26:00,534715
2019-01-01 01:27:00,557850
2019-01-01 01:28:00,518887
2019-01-01 01:29:00,519669
2019-01-01 01:30:00,581209
2019-01-01 01:31:00,551859
2019-01-01 01:32:00,535405
2019-01-01 01:33:00,545570
2019-01-01 01:34:00,561039
2019-01-01 01:35:00,557077
2019-01-01 01:36:00,528236
2019-01-01 01:37:00,518934
2019-01-01 01:38:00,518387
2019-01-01 01:39:00,526895
2019-01-01 01:40:00,550899
2019-01-01 01:41:00,522761
2019-01-01 01:42:00,538659
2019-01-01 01:43:00,534998
2019-01-01 01:44:00,565466
2019-01-01 01:45:00,548140
2019-01-01 01:46:00,573524
2019-01-01 01:47:00,533434
2019-01-01 01:48:00,526664
2019-01-01 01:49:00,535406
2019-01-01 01:50:00,554121
2019-01-01 01:51:00,539612
2019-01-01 01:52:00,529571
2019-01-01 01:53:00,539888
2019-01-01 01:54:00,540344
2019-01-01 01:55:00,533914
2019-01-01 01:56:00,526742
2019-01-01 01:57:00,535203
2019-01-01 01:58:00,536117
2019-01-01 01:59:00,553528
2019-01-01 02:00:00,627692
2019-01-01 02:01:00,581997
2019-01-01 02:02:00,572405
2019-01-01 02:03:00,592007
2019-01-01 02:04:00,669786
2019-01-01 02:05:00,685426
2019-01-01 02:06:00,673424
2019-01-01 02:07:00,671233
2019-01-01 02:08:00,612006
2019-01-01 02:09:00,549283
2019-01-01 02:10:00,565646
2019-01-01 02:11:00,568737
2019-01-01 02:12:00,572792
2019-01-01 02:13:00,560916
2019-01-01 02:14:00,563304
2019-01-01 02:15:00,588348
2019-01-01 02:16:00,554697
2019-01-01 02:17:00,566740
2019-01-01 02:18:00,558384
2019-01-01 02:19:00,553153
2019-01-01 02:20:00,588475
2019-01-01 02:21:00,573329
2019-01-01 02:22:00,572792
2019-01-01 02:23:00,562203
2019-01-01 02:24:00,558666
2019-01-01 02:25:00,561659
2019-01-01 02:26:00,563338
2019-01-01 02:27:00,547252
2019-01-01 02:28:00,545126
2019-01-01 02:29:00,533012
2019-01-01 02:30:00,621495
2019-01-01 02:31:00,574457
2019-01-01 02:32:00,561626
2019-01-01 02:33:00,563856
2019-01-01 02:34:00,569487
2019-01-01 02:35:00,558742
2019-01-01 02:36:00,553462
2019-01-01 02:37:00,552921
2019-01-01 02:38:00,564821
2019-01-01 02:39:00,561918
2019-01-01 02:40:00,588859
2019-01-01 02:41:00,559944
2019-01-01 02:42:00,552292
2019-01-01 02:43:00,547528
2019-01-01 02:44:00,566716
2019-01-01 02:45:00,562627
2019-01-01 02:46:00,561128
2019-01-01 02:47:00,568741
2019-01-01 02:48:00,561958
2019-01-01 02:49:00,567313
2019-01-01 02:50:00,574628
2019-01-01 02:51:00,560754
2019-01-01 02:52:00,576084
2019-01-01 02:53:00,568967
2019-01-01 02:54:00,548345
2019-01-01 02:55:00,542211
2019-01-01 02:56:00,538389
2019-01-01 02:57:00,561884
2019-01-01 02:58:00,545332
2019-01-01 02:59:00,555256
2019-01-01 03:00:00,662037
2019-01-01 03:01:00,606711
2019-01-01 03:02:00,588291
2019-01-01 03:03:00,589839
2019-01-01 03:04:00,527003
2019-01-01 03:05:00,677575
2019-01-01 03:06:00,684297
2019-01-01 03:07:00,611019
2019-01-01 03:08:00,652713
2019-01-01 03:09:00,579624
2019-01-01 03:10:00,575997
2019-01-01 03:11:00,538732
2019-01-01 03:12:00,589768
2019-01-01 03:13:00,569825
2019-01-01 03:14:00,552334
2019-01-01 03:15:00,580489
2019-01-01 03:16:00,555843
2019-01-01 03:17:00,551873
2019-01-01 03:18:00,534292
2019-01-01 03:19:00,547213
2019-01-01 03:20:00,586456
2019-01-01 03:21:00,548027
2019-01-01 03:22:00,538306
2019-01-01 03:23:00,554953
2019-01-01 03:24:00,553210
2019-01-01 03:25:00,566327
2019-01-01 03:26:00,546105
