model,total_cost,cold_cost,idle_cost,total_cold_starts,total_idle_capacity,total_demand,request_sla,extreme_sla,cold_start_rate,avg_cold_per_step,n_extreme_timesteps,fit_time_seconds
RiskAware(Reactive),5813944.0,66340.0,5747604.0,6634,5747604,2495264,0.9973413634789746,0.955442268393609,0.004166666666666667,0.767824074074074,151,0.01499795913696289
RiskAware(Forecast_Only),5451142.0,78680.0,5372462.0,7868,5372462,2495264,0.9968468266283648,0.9465918098714975,0.005208333333333333,0.9106481481481481,151,0.014002561569213867
RiskAware(Seasonal_Naive),3395510.0,102670.0,3292840.0,10267,3292840,2495264,0.9958854053118227,0.9376177212796439,0.00474537037037037,1.1883101851851852,151,0.014003753662109375
RiskAware(Linear_Seasonal),3338403.0,100700.0,3237703.0,10070,3237703,2495264,0.995964354873873,0.9365268677230978,0.00474537037037037,1.1655092592592593,151,0.019004344940185547
RiskAware(TCN),3471659.0,101890.0,3369769.0,10189,3369769,2495264,0.9959166645292843,0.9339233639014741,0.004166666666666667,1.1792824074074073,151,192.78521752357483
