Model,Total Cold,Total Idle,Total Cost,SLA Compliance,SLA on Extreme,Cold Mean (Extreme),Avg Cost (Extreme)
Reactive,39974213,39942535,439684665.0,0.5488833746898263,0.24390243902439024,39103.60975609756,395196.34146341466
Static (P90),17518652,229788318,404974838.0,0.8640198511166253,0.0,97834.39024390244,978343.9024390244
Forecast-Only,47078449,46890868,517675358.0,0.5687344913151364,0.024390243902439025,77820.70731707317,778520.7804878049
MLP Forecast,43387885,28330910,462209760.0,0.49181141439205955,0.07317073170731707,57078.65853658537,571446.6097560975
