Model,Total Cost ($),Total Cold Starts,Total Idle Capacity,Overall SLA (%),Extreme SLA (%),Provisioning Ratio (x)
MLPForecast,462209675.4743521,43387878.5262487,28330890.211865153,49.18114143920596,7.317073170731707,0.9942098857514923
RiskAware (V2),269104794.0,4140163.0,227703164.0,96.0545905707196,70.73170731707317,1.0859704006207347
