model,total_cost,cold_cost,idle_cost,total_cold_starts,total_idle_capacity,total_demand,request_sla,extreme_sla,cold_start_rate,avg_cold_per_step,n_extreme_timesteps,fit_time_seconds
Reactive,5452612.0,4956830.0,495782.0,495683,495782,2495264,0.801350478346179,0.3749627291701514,0.45775462962962965,57.37071759259259,151,0.0
Static_P90,3078645.0,1697590.0,1381055.0,169759,1381055,2495264,0.9319675192685023,0.4710960169300472,0.1193287037037037,19.648032407407406,151,0.0
Forecast_Only,4034968.0,3664630.0,370338.0,366463,370338,2495264,0.8531365819408288,0.37022115237769715,0.30671296296296297,42.41469907407407,151,0.0
Seasonal_Naive,2946203.0,2680350.0,265853.0,268035,265853,2495264,0.8925825083037306,0.6355021926156487,0.5048611111111111,31.022569444444443,151,0.0
Linear_Seasonal,3103044.0,2878250.0,224794.0,287825,224794,2495264,0.8846514837708555,0.5637313009519516,0.46967592592592594,33.3130787037037,151,0.01770329475402832
TCN,2469065.0,2260640.0,208425.0,226064,208425,2495264,0.909402772612437,0.5894972619575731,0.4375,26.164814814814815,151,195.32397270202637
